# node id, temperature, exact temp.
      168,   1.656e-02,   1.656e-02
      169,   1.666e-02,   1.666e-02
      170,   1.676e-02,   1.676e-02
      171,   1.686e-02,   1.686e-02
      172,   1.695e-02,   1.695e-02
      173,   1.705e-02,   1.705e-02
      174,   1.715e-02,   1.715e-02
      175,   1.725e-02,   1.725e-02
      176,   1.735e-02,   1.735e-02
      177,   1.745e-02,   1.745e-02
      178,   1.754e-02,   1.754e-02
      179,   1.764e-02,   1.764e-02
      180,   1.774e-02,   1.774e-02
      181,   1.784e-02,   1.784e-02
      182,   1.794e-02,   1.794e-02
      183,   1.803e-02,   1.803e-02
      184,   1.813e-02,   1.813e-02
      185,   1.823e-02,   1.823e-02
      186,   1.833e-02,   1.833e-02
      187,   1.843e-02,   1.843e-02
      188,   1.853e-02,   1.853e-02
      189,   1.862e-02,   1.862e-02
      190,   1.872e-02,   1.872e-02
      191,   1.882e-02,   1.882e-02
      192,   1.892e-02,   1.892e-02
      193,   1.902e-02,   1.902e-02
      194,   1.911e-02,   1.911e-02
      195,   1.921e-02,   1.921e-02
      196,   1.931e-02,   1.931e-02
      197,   1.941e-02,   1.941e-02
      198,   1.951e-02,   1.951e-02
      199,   1.960e-02,   1.960e-02
      200,   1.970e-02,   1.970e-02
      201,   1.980e-02,   1.980e-02
      202,   1.990e-02,   1.990e-02
      203,   2.000e-02,   2.000e-02
      204,   2.009e-02,   2.009e-02
      205,   2.019e-02,   2.019e-02
      206,   2.029e-02,   2.029e-02
      207,   2.039e-02,   2.039e-02
      208,   2.049e-02,   2.049e-02
      209,   2.058e-02,   2.058e-02
      210,   2.068e-02,   2.068e-02
      211,   2.078e-02,   2.078e-02
      212,   2.088e-02,   2.088e-02
      213,   2.098e-02,   2.098e-02
      214,   2.107e-02,   2.107e-02
      215,   2.117e-02,   2.117e-02
      216,   2.127e-02,   2.127e-02
      217,   2.137e-02,   2.137e-02
      218,   2.146e-02,   2.146e-02
      219,   2.156e-02,   2.156e-02
      220,   2.166e-02,   2.166e-02
      221,   2.176e-02,   2.176e-02
      222,   2.186e-02,   2.186e-02
      223,   2.195e-02,   2.195e-02
      224,   2.205e-02,   2.205e-02
      225,   2.215e-02,   2.215e-02
      226,   2.225e-02,   2.225e-02
      227,   2.234e-02,   2.234e-02
      228,   2.244e-02,   2.244e-02
      229,   2.254e-02,   2.254e-02
      230,   2.264e-02,   2.264e-02
      231,   2.274e-02,   2.274e-02
      232,   2.283e-02,   2.283e-02
      233,   2.293e-02,   2.293e-02
      234,   2.303e-02,   2.303e-02
      235,   2.313e-02,   2.313e-02
      236,   2.322e-02,   2.322e-02
      237,   2.332e-02,   2.332e-02
      238,   2.342e-02,   2.342e-02
      239,   2.352e-02,   2.352e-02
      240,   2.361e-02,   2.361e-02
      241,   2.371e-02,   2.371e-02
      242,   2.381e-02,   2.381e-02
      243,   2.391e-02,   2.391e-02
      244,   2.400e-02,   2.400e-02
      245,   2.410e-02,   2.410e-02
      246,   2.420e-02,   2.420e-02
      247,   2.430e-02,   2.430e-02
      248,   2.439e-02,   2.439e-02
      249,   2.449e-02,   2.449e-02
      250,   2.459e-02,   2.459e-02
      251,   2.469e-02,   2.469e-02
      252,   2.478e-02,   2.478e-02
      253,   2.488e-02,   2.488e-02
      254,   2.498e-02,   2.498e-02
      255,   2.508e-02,   2.508e-02
      256,   2.517e-02,   2.517e-02
      257,   2.527e-02,   2.527e-02
      258,   2.537e-02,   2.537e-02
      259,   2.547e-02,   2.547e-02
      260,   2.556e-02,   2.556e-02
      261,   2.566e-02,   2.566e-02
      262,   2.576e-02,   2.576e-02
      263,   2.586e-02,   2.586e-02
